,batsman,avg,batsman_runs
0,AB de Villiers,38.30769230769231,145.12905911740216
1,AC Gilchrist,27.223684210526315,133.05466237942122
2,AJ Finch,27.1864406779661,126.2992125984252
3,AM Rahane,33.59340659340659,117.48654880860876
4,AT Rayudu,27.146067415730336,123.0142566191446
5,BB McCullum,28.112244897959183,126.31820265933058
6,BJ Hodge,33.333333333333336,121.42237640936686
7,CH Gayle,41.02247191011236,144.19431279620852
8,DA Miller,34.733333333333334,137.7092511013216
9,DA Warner,40.14,138.3184011026878
10,DJ Bravo,22.945454545454545,122.28682170542635
11,DJ Hussey,26.979591836734695,120.07266121707538
12,DPMD Jayawardene,28.25,118.7910643889619
13,DR Smith,28.392857142857142,132.27953410981698
14,F du Plessis,30.11627906976744,124.16107382550337
15,G Gambhir,31.541984732824428,120.36120011651616
16,GJ Maxwell,25.081632653061224,157.56410256410257
17,JH Kallis,28.55294117647059,105.93627237014405
18,JP Duminy,39.86,121.97062423500613
19,KA Pollard,28.70731707317073,140.62126642771804
20,KC Sangakkara,25.953846153846154,118.4691011235955
21,KD Karthik,24.811965811965813,123.00847457627117
22,KK Nair,25.17391304347826,124.65016146393972
23,M Vijay,26.431578947368422,120.02868068833652
24,MEK Hussey,38.76470588235294,119.96359223300972
25,MK Pandey,28.5,116.93845344555498
26,MK Tiwary,29.428571428571427,114.12742382271468
27,MS Dhoni,37.87234042553192,132.8358208955224
28,NV Ojha,20.986486486486488,114.52802359882006
29,PA Patel,21.700934579439252,112.71844660194175
30,R Dravid,28.233766233766232,113.34723670490095
31,RA Jadeja,24.055555555555557,118.79286694101509
32,RG Sharma,32.6124031007752,128.49725106902872
33,RV Uthappa,29.515625,127.63513513513513
34,S Badrinath,30.659574468085108,115.74297188755021
35,S Dhawan,32.669724770642205,118.50249584026622
36,SC Ganguly,25.452830188679247,101.73453996983409
37,SE Marsh,39.507936507936506,130.10977522216413
38,SK Raina,33.940298507462686,134.99554764024933
39,SPD Smith,37.23913043478261,128.50712678169543
40,SR Tendulkar,33.82608695652174,114.18786692759295
41,SR Watson,30.91764705882353,134.83837865572087
42,SS Tiwary,28.355555555555554,114.85148514851484
43,SV Samson,25.464285714285715,122.40343347639484
44,TM Dilshan,26.813953488372093,110.12416427889207
45,V Kohli,37.483050847457626,126.58843732112193
46,V Sehwag,27.555555555555557,148.82705946535734
47,WP Saha,25.524590163934427,127.72764561115667
48,YK Pathan,29.816326530612244,140.75144508670522
49,Yuvraj Singh,25.653465346534652,126.39024390243902
